n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,auc_lower_95,auc_upper_95,target
73,0.410958904109589,0.6164383561643836,0.613953488372093,0.22479192853242377,0.7220872156826648,0.2562351225088815,0.610077519379845,0.5347828145299806,sentence_sentiment,logistic,walk_forward_2020,0.016828997099643323,0.014828997099643323,0.005914506536777408,-0.010914490562865916,0.5714285714285714,14,14,,,beta_adjusted
66,0.6212121212121212,0.5757575757575758,0.5492682926829269,0.09853658536585366,0.6624317970560812,0.2358006844365762,0.6165853658536585,0.7552952765027849,sentence_sentiment,logistic,walk_forward_2021,0.03733323314928912,0.03533323314928912,0.029296311878029693,-0.008036921271259432,0.8461538461538461,13,13,,,beta_adjusted
83,0.5421686746987951,0.5301204819277109,0.5298245614035088,0.059440922790261544,0.7379406869683053,0.26922554909609786,0.5210526315789474,0.5799009946014893,sentence_sentiment,logistic,walk_forward_2022,0.014833581003140852,0.012833581003140852,0.012810608433662812,-0.0020229725694780407,0.5625,16,16,,,beta_adjusted
53,0.6226415094339622,0.4528301886792453,0.4818181818181818,-0.03636363636363636,0.729425695626758,0.26717621223460447,0.5666666666666667,0.7125483785607648,sentence_sentiment,xgboost,walk_forward_2019,0.05571150548536517,0.05371150548536517,0.034248200960178436,-0.021463304525186737,0.8,10,10,,,beta_adjusted
73,0.410958904109589,0.6027397260273972,0.5720930232558139,0.15271059486368266,0.6732484121468489,0.2394091514145889,0.6124031007751939,0.5019577578091501,sentence_sentiment,xgboost,walk_forward_2020,0.009593418387687411,0.007593418387687411,-0.008251047906616365,-0.017844466294303776,0.5,14,14,,,beta_adjusted
66,0.6212121212121212,0.5,0.44926829268292684,-0.10709704620795439,0.6841504418907118,0.24549598289161179,0.5551219512195122,0.6745946570954933,sentence_sentiment,xgboost,walk_forward_2021,0.03591999773186083,0.03391999773186083,0.030409450470813157,-0.005510547261047671,0.7692307692307693,13,13,,,beta_adjusted
83,0.5421686746987951,0.4939759036144578,0.5046783625730994,0.009636945628884843,0.7223176703990483,0.263801829596818,0.4964912280701754,0.5617740756895376,sentence_sentiment,xgboost,walk_forward_2022,0.01881061687992822,0.01681061687992822,0.01675060691756774,-0.00206000996236048,0.5625,16,16,,,beta_adjusted
53,0.6226415094339622,0.41509433962264153,0.45151515151515154,-0.09925164910917023,0.8133423284368133,0.29869979585457984,0.4636363636363636,0.625257396692736,financial_dictionary,logistic,walk_forward_2019,0.022704328759703775,0.020704328759703773,0.022744867193651895,4.053843394812018e-05,0.6,10,10,,,beta_adjusted
73,0.410958904109589,0.6301369863013698,0.6205426356589148,0.23997170752950747,0.6608746741973396,0.23459477608775733,0.624031007751938,0.5496402131068467,financial_dictionary,logistic,walk_forward_2020,0.02801897210956247,0.02601897210956247,0.01358282133881325,-0.01443615077074922,0.7142857142857143,14,14,,,beta_adjusted
66,0.6212121212121212,0.5151515151515151,0.4926829268292683,-0.014438269394140333,0.6743003158965818,0.24104824386626714,0.5853658536585366,0.7502529011541795,financial_dictionary,logistic,walk_forward_2021,0.039855538960171,0.037855538960171,0.04569655169422711,0.005841012734056106,0.9230769230769231,13,13,,,beta_adjusted
83,0.5421686746987951,0.4578313253012048,0.45906432748538006,-0.08163299999648728,0.7161212877299784,0.2609262751833639,0.4976608187134503,0.5713936671791308,financial_dictionary,logistic,walk_forward_2022,0.031919203594745024,0.029919203594745022,0.01908757169874983,-0.012831631895995198,0.6875,16,16,,,beta_adjusted
53,0.6226415094339622,0.49056603773584906,0.5318181818181817,0.06513389472789297,0.73170496715946,0.2672813993444188,0.5590909090909091,0.7170210574309126,financial_dictionary,xgboost,walk_forward_2019,0.05463899140429463,0.05263899140429463,0.03679327520473361,-0.017845716199561018,0.9,10,10,,,beta_adjusted
73,0.410958904109589,0.6438356164383562,0.6170542635658915,0.2451932030000988,0.6361244979994577,0.22179520547858506,0.7085271317829457,0.5973142200430537,financial_dictionary,xgboost,walk_forward_2020,0.04783957202518319,0.04583957202518319,0.017384220380641264,-0.03045535164454193,0.6428571428571429,14,14,,,beta_adjusted
66,0.6212121212121212,0.5454545454545454,0.5326829268292683,0.06388707560806167,0.7214527770991013,0.2629533030529508,0.5014634146341463,0.6112544112310514,financial_dictionary,xgboost,walk_forward_2021,0.0015308315469014806,-0.0004691684530985195,0.010609864672987582,0.009079033126086102,0.6153846153846154,13,13,,,beta_adjusted
83,0.5421686746987951,0.46987951807228917,0.47631578947368425,-0.04778948196482324,0.7313647361001449,0.26842699112153917,0.46842105263157896,0.5641744385762288,financial_dictionary,xgboost,walk_forward_2022,0.007093047707791139,0.005093047707791139,0.007577270254408554,0.0004842225466174148,0.5,16,16,,,beta_adjusted
53,0.6226415094339622,0.5094339622641509,0.5272727272727272,0.05334650693692644,0.6889726438201463,0.249472325914255,0.5833333333333334,0.7174557096955004,historical_surprise,logistic,walk_forward_2019,0.02620809842900263,0.02420809842900263,0.027068106783174443,0.0008600083541718123,0.7,10,10,,,beta_adjusted
73,0.410958904109589,0.5205479452054794,0.5073643410852713,0.014660650942317176,0.7165030834482431,0.25918192044378907,0.5682170542635658,0.46460961868524914,historical_surprise,logistic,walk_forward_2020,-0.004353273830261437,-0.006353273830261437,-0.01698676097426641,-0.012633487144004973,0.35714285714285715,14,14,,,beta_adjusted
