symbol,company_name,year,quarter,call_datetime,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,sentiment_mismatch_pos,sentiment_mismatch_neg,evasion_index,abnormal_return_5d
CMI,Cummins Inc.,2025,1,2025-05-05 10:00:00,0.46073675,0.2707363,0.26852697,0.21964774,0.037833754,0.7425185,0.24108902,0.23290256,0.34210557,0.07481800547400899
CPRT,"Copart, Inc.",2020,4,2020-09-03 11:00:00,0.3201902,0.302548,0.37726185,0.33168226,0.055613775,0.6127039,-0.011492074,0.24693422,0.19618179,0.04036496137501128
CPRT,"Copart, Inc.",2020,3,2020-05-21 11:00:00,0.11587042,0.45550057,0.428629,0.18165015,0.15103061,0.66731924,-0.06577972,0.30446994,0.077322565,0.006680589686732498
CPRT,"Copart, Inc.",2020,2,2020-02-20 11:00:00,0.5641894,0.041016247,0.39479437,0.16717237,0.075591505,0.7572361,0.397017,-0.034575257,0.42722458,-0.07021570176983409
CPRT,"Copart, Inc.",2020,1,2019-11-21 11:00:00,0.6045169,0.029664263,0.36581877,0.17487806,0.023040868,0.8020811,0.42963886,0.006623395,0.4848716,0.03758346314582421
CPRT,"Copart, Inc.",2021,4,2021-09-09 11:00:00,0.6988963,0.054232646,0.24687111,0.16016775,0.045063753,0.79476845,0.53872854,0.009168893,0.55546075,0.06146542841429751
CPRT,"Copart, Inc.",2021,3,2021-05-20 11:00:00,0.5402192,0.14697014,0.31281072,0.1843235,0.017728481,0.797948,0.3558957,0.12924166,0.4310668,0.04128741243222808
CPRT,"Copart, Inc.",2021,2,2021-02-19 11:00:00,0.58425033,0.24465163,0.17109805,0.19943134,0.09432656,0.7062421,0.38481897,0.15032506,0.41262218,-0.05464261184684491
CPRT,"Copart, Inc.",2021,1,2020-11-19 11:00:00,0.5318165,0.16175131,0.30643228,0.26328412,0.071144834,0.66557103,0.26853237,0.09060648,0.35396165,-0.026330402301073988
CPRT,"Copart, Inc.",2022,4,2022-09-09 11:00:00,0.3279027,0.35664725,0.31545,0.13263045,0.05402502,0.8133444,0.19527225,0.30262223,0.26669782,-0.025410797968668138
CPRT,"Copart, Inc.",2022,3,2022-05-19 11:00:00,0.65703446,0.13354881,0.20941673,0.30729523,0.09420857,0.59849614,0.34973922,0.039340243,0.39323258,0.039575756331868814
CPRT,"Copart, Inc.",2022,2,2022-02-17 11:00:00,0.46012476,0.35945264,0.18042254,0.227437,0.036620844,0.7359421,0.23268776,0.32283178,0.3386252,0.003009158951195273
CPRT,"Copart, Inc.",2023,4,2023-09-14 11:00:00,0.561766,0.18347616,0.25475782,0.17899853,0.08337398,0.73762757,0.3827675,0.100102186,0.4143741,0.004359891399443802
CPRT,"Copart, Inc.",2023,2,2023-02-21 11:29:00,0.6621706,0.080056526,0.2577729,0.13048398,0.07129132,0.7982246,0.5316866,0.008765206,0.5285609,0.05682390469773356
CPRT,"Copart, Inc.",2023,1,2022-11-17 11:00:00,0.312256,0.40579134,0.28195265,0.2635838,0.02426765,0.7121486,0.0486722,0.3815237,0.22237268,0.03215401494276318
CPRT,"Copart, Inc.",2024,4,2024-09-04 17:30:00,0.48865658,0.3187624,0.19258097,0.09551774,0.067301996,0.8371804,0.39313883,0.2514604,0.4090937,-0.08119524216726794
CPRT,"Copart, Inc.",2024,3,2024-05-16 17:30:00,0.5839437,0.18529472,0.23076156,0.17763406,0.11535406,0.7070118,0.40630966,0.06994066,0.41285512,-0.011698738438598297
CPRT,"Copart, Inc.",2024,2,2024-02-22 17:30:00,0.6773432,0.24696939,0.07568748,0.2623422,0.019299509,0.7183582,0.41500098,0.22766988,0.48657504,0.074557106907828
CPRT,"Copart, Inc.",2024,1,2023-11-16 17:30:00,0.618444,0.16337696,0.21817894,0.19060272,0.016887592,0.7925098,0.4278413,0.14648937,0.49012294,0.028970520151376494
CPRT,"Copart, Inc.",2025,2,2025-02-20 17:30:00,0.52958614,0.11107022,0.35934362,0.18915503,0.02411245,0.7867325,0.3404311,0.086957775,0.41664264,-0.03209467637572369
CPRT,"Copart, Inc.",2025,1,2024-11-21 17:30:00,0.46448246,0.15186259,0.38365495,0.20398475,0.055136982,0.7408782,0.2604977,0.09672561,0.34412494,0.07343428830388071
CSX,CSX Corporation,2022,4,2023-01-25 16:30:00,0.82107526,0.059801877,0.1191228,0.31220403,0.06671617,0.62107986,0.5088712,-0.0069142953,0.5099533,0.01048806719564637
CSX,CSX Corporation,2023,2,2023-07-20 16:30:00,0.6186878,0.3280899,0.053222254,0.45977068,0.061677776,0.47855154,0.15891713,0.2664121,0.296074,-0.007773769505752402
CSX,CSX Corporation,2023,1,2023-04-20 09:00:00,0.83938533,0.05567366,0.104941055,0.34081048,0.09843568,0.5607538,0.49857485,-0.04276202,0.47068852,-0.0009485910343490448
CTAS,Cintas Corporation,2020,4,2020-07-23 00:00:00,0.50831723,0.4336657,0.058017116,0.13315852,0.097881764,0.76895976,0.37515873,0.33578393,0.3908755,0.05212223423923024
CTAS,Cintas Corporation,2020,3,2020-03-19 17:00:00,0.5383814,0.070794344,0.39082423,0.15008566,0.32633168,0.5235827,0.38829574,-0.25553733,0.28188717,-0.06263321996208723
CTAS,Cintas Corporation,2020,2,2019-12-17 17:00:00,0.5047154,0.24019568,0.25508893,0.34290156,0.040689565,0.6164089,0.16181383,0.1995061,0.31111103,0.013419192852413416
CTAS,Cintas Corporation,2020,1,2019-09-25 17:00:00,0.37761134,0.28955534,0.33283332,0.2328242,0.068492524,0.6986832,0.14478713,0.22106281,0.2638307,-0.005095546377055046
CTAS,Cintas Corporation,2021,4,2021-07-15 10:00:00,0.6694731,0.13118008,0.19934686,0.32046732,0.031369448,0.64816326,0.3490058,0.09981063,0.43392786,0.03354199974118666
CTAS,Cintas Corporation,2021,3,2021-03-17 10:00:00,0.5082734,0.30145437,0.19027226,0.20556661,0.113623954,0.6808095,0.3027068,0.18783042,0.3460374,-0.015922240827365687
CTAS,Cintas Corporation,2021,2,2020-12-22 10:00:00,0.47457734,0.34203187,0.18339078,0.19202389,0.114464484,0.6935116,0.28255343,0.22756737,0.3291249,0.00179922243674642
